"","date","open","high","low","close","volume","Name","pivot_point","support_1","resistance_1","support_2","resistance_2","resistance_3","support_3","price_difference","R1","R2","R3","R4","R5","S1","S2","S3","S4","S5","ema","rsi"
"1366","2011-07-22 00:00:00+05:30",11110.75,11309.45,11105.7,11291.95,0,"NIFTY BANK",11088.1833333333,10983.32,11154.67,10916.83,11259.53,11430.88,10745.48,171.349999999999,11128.62,11153.64,11173.86,11194.08,11259.53,11047.74,11022.73,11002.51,10982.29,10916.83,11200.1493181574,56.9831051950563
"1367","2011-07-25 00:00:00+05:30",11286.25,11433.1,11233.35,11391.8,0,"NIFTY BANK",11235.7,11161.95,11365.7,11031.95,11439.45,11643.2,10828.2,203.75,11283.79,11313.53,11337.58,11361.62,11439.45,11187.62,11157.87,11133.83,11109.78,11031.95,11234.9948966742,60.8468739676082
"1368","2011-07-26 00:00:00+05:30",11397.95,11430.75,11068.2,11114.55,0,"NIFTY BANK",11352.75,11272.4,11472.15,11153,11552.5,11752.25,10953.25,199.75,11399.89,11429.05,11452.62,11476.2,11552.5,11305.61,11276.45,11252.88,11229.3,11153,11213.0958245516,47.644171740462
"1369","2011-07-27 00:00:00+05:30",11126.7,11139.65,10961.95,11000.15,0,"NIFTY BANK",11204.5,10978.25,11340.8,10841.95,11567.05,11929.6,10479.4,362.549999999999,11290.06,11342.99,11385.77,11428.56,11567.05,11118.94,11066.01,11023.23,10980.44,10841.95,11174.3784019059,43.3333615770415
"1370","2011-07-28 00:00:00+05:30",10902.6,10954.25,10799.85,10828.5,0,"NIFTY BANK",11033.9166666667,10928.18,11105.88,10856.22,11211.62,11389.32,10678.52,177.699999999999,11075.85,11101.8,11122.77,11143.74,11211.62,10991.98,10966.04,10945.07,10924.1,10856.22,11111.4914197412,37.6535910247875
"1371","2011-07-29 00:00:00+05:30",10820.65,10968.8,10758.4,10893.65,0,"NIFTY BANK",10860.8666666667,10767.48,10921.88,10706.47,11015.27,11169.67,10552.07,154.4,10897.31,10919.85,10938.07,10956.29,11015.27,10824.43,10801.89,10783.67,10765.45,10706.47,11071.8838888792,40.919333251284
"1372","2011-08-01 00:00:00+05:30",11014.15,11064.9,10882.05,10939,0,"NIFTY BANK",10873.6166666667,10778.43,10988.83,10663.22,11084.02,11294.42,10452.82,210.4,10923.27,10953.99,10978.82,11003.64,11084.02,10823.96,10793.24,10768.42,10743.59,10663.22,11047.7231818102,43.2196563288568
"1373","2011-08-02 00:00:00+05:30",10902.55,10902.55,10720.3,10743.3,0,"NIFTY BANK",10961.9833333333,10859.07,11041.92,10779.13,11144.83,11327.68,10596.28,182.85,11005.14,11031.83,11053.41,11074.98,11144.83,10918.83,10892.13,10870.56,10848.98,10779.13,10992.3735123902,36.4204294136083
"1374","2011-08-03 00:00:00+05:30",10647.9,10686.4,10545.15,10639.55,0,"NIFTY BANK",10788.7166666667,10674.88,10857.13,10606.47,10970.97,11153.22,10424.22,182.25,10831.73,10858.34,10879.84,10901.35,10970.97,10745.71,10719.1,10697.59,10676.09,10606.47,10928.2237828647,33.3316310242641
"1375","2011-08-04 00:00:00+05:30",10682.45,10765.95,10515.05,10537.05,0,"NIFTY BANK",10623.7,10561,10702.25,10482.45,10764.95,10906.2,10341.2,141.25,10657.03,10677.66,10694.32,10710.99,10764.95,10590.36,10569.74,10553.07,10536.41,10482.45,10857.1012768893,30.4928268307274
"1376","2011-08-05 00:00:00+05:30",10306.1,10392.25,10150.29,10354.5,0,"NIFTY BANK",10606.0166666667,10446.08,10696.98,10355.12,10856.92,11107.82,10104.22,250.900000000001,10665.23,10701.86,10731.47,10761.07,10856.92,10546.8,10510.17,10480.57,10450.96,10355.12,10765.7192265458,26.0948829085731
